id;street;postal_code;city;country
5c9b245c-ea74-4201-8d39-37cc0bb55931;Avenue de Montmorency;27405;Rouen;Costa Rica
908ae203-a9c2-46dc-8440-926598461ddc;Place de la Pompe;3264;Montpellier;Belize
249d629a-ec8d-4fb1-be9c-ab7705c5ae23;Rue Charlemagne;4792;Rennes;Guinée-Bissau
5e1c9df6-b1a4-45bc-a52e-e8c96473e3ad;Boulevard du Chat-qui-Pêche;3049;Villeneuve-d'Ascq;Syrie
345fccd5-e7ab-468f-ad3d-0e7c586e18bd;11 Chemin de la Capuche;38100;Grenoble;France
c96ffcb9-76e0-4ffa-bbb8-992dec2a67ec;Quai de Seine;11499;Caen;Belgique
3cef317d-8b04-4f18-b808-092ac8835e79;Impasse d'Assas;16813;Fort-de-France;Sierra Leone
6586cd52-ff8b-414f-9ba5-4eee8540abba;Boulevard de Richelieu;5977;Vénissieux;Honduras
74e73fcd-d55d-4e3c-afc1-ac848c99a79d;Rue de la Victoire;30931;Cholet;Pakistan
a759344c-33e7-410d-8c40-5bd57c878ebc;Place du Bac;22276;Poitiers;Slovaquie
